Name,Description,Is freelancer?,Hide salary?,Hide company?,Number of positions,Is featured?,Auto review?,Latitude,Longitude,Content,Apply URL,Address,Country,State,City,Company name,Career level,Salary from,Salary to,Salary range,Skills,Categories,Types,Tags,Currency,Degree level,Job shift,Job experience,Functional area,Start date,Expire date,Application closing date,Never expired?,Employer colleagues,Moderation status,Status
Frontend Developer,Build modern frontend interfaces,Yes,Yes,Yes,5,No,Yes,10.823,20.212,Develop responsive user interfaces,https://example.com,Accra,Ghana,Greater Accra,Accra,JobBox Africa,Mid Level,875,12726,monthly,HTML CSS JavaScript,Technology,Full Time,frontend,GHS,Bachelor,Day,2 - 4 Years,Software Development,2026-01-31,2026-04-02,2026-01-01,Yes,,approved,published
Backend Developer,Develop backend services,No,No,No,3,No,Yes,10.823,20.212,Build APIs and backend logic,https://example.com,Accra,Ghana,Greater Accra,Accra,JobBox Africa,Mid Level,1200,15000,monthly,PHP Laravel MySQL,Technology,Full Time,backend,GHS,Bachelor,Day,3 - 5 Years,Software Development,2026-01-31,2026-04-02,2026-01-01,No,,approved,published
Digital Marketer,Manage digital campaigns,No,No,No,4,No,Yes,10.823,20.212,Run marketing campaigns,https://example.com,Accra,Ghana,Greater Accra,Accra,JobBox Africa,Mid Level,132,7949,monthly,SEO Analytics Marketing,Marketing,Full Time,marketing,GHS,Bachelor,Day,2 - 5 Years,Marketing,2026-01-31,2026-04-02,2026-01-01,No,,approved,published
UI UX Designer,Design user experiences,No,Yes,No,2,No,Yes,10.823,20.212,Design UI and UX flows,https://example.com,Accra,Ghana,Greater Accra,Accra,JobBox Africa,Mid Level,926,9938,monthly,UI UX Figma,Design,Full Time,uiux,GHS,Bachelor,Day,2 - 4 Years,Design,2026-01-31,2026-04-02,2026-01-01,Yes,,approved,published
Mobile App Developer,Develop mobile applications,No,No,No,3,Yes,Yes,10.823,20.212,Build Android and iOS apps,https://example.com,Accra,Ghana,Greater Accra,Accra,JobBox Africa,Mid Level,1500,12000,monthly,Flutter Kotlin Swift,Technology,Full Time,mobile,GHS,Bachelor,Day,2 - 5 Years,Software Development,2026-01-31,2026-04-15,2026-01-05,No,,approved,published
DevOps Engineer,Maintain CI CD pipelines,No,No,No,2,Yes,Yes,10.823,20.212,Manage cloud infrastructure,https://example.com,Accra,Ghana,Greater Accra,Accra,JobBox Africa,Senior Level,3000,20000,monthly,AWS Docker Kubernetes,Technology,Full Time,devops,GHS,Bachelor,Day,5 - 7 Years,IT Infrastructure,2026-01-31,2026-05-01,2026-01-10,No,,approved,published
QA Engineer,Test software quality,No,Yes,No,2,No,Yes,10.823,20.212,Perform manual and automated tests,https://example.com,Accra,Ghana,Greater Accra,Accra,JobBox Africa,Mid Level,1000,8000,monthly,Testing Selenium QA,Technology,Full Time,qa,GHS,Bachelor,Day,2 - 4 Years,Quality Assurance,2026-01-31,2026-04-10,2026-01-07,No,,approved,published
Product Manager,Manage product lifecycle,No,No,No,1,Yes,Yes,10.823,20.212,Define product roadmap,https://example.com,Accra,Ghana,Greater Accra,Accra,JobBox Africa,Senior Level,4000,25000,monthly,Product Strategy Agile,Management,Full Time,product,GHS,Bachelor,Day,5 - 8 Years,Product Management,2026-01-31,2026-05-15,2026-01-12,No,,approved,published
Data Analyst,Analyze business data,No,No,No,2,No,Yes,10.823,20.212,Create reports and dashboards,https://example.com,Accra,Ghana,Greater Accra,Accra,JobBox Africa,Mid Level,1800,12000,monthly,SQL Excel PowerBI,Data,Full Time,data,GHS,Bachelor,Day,2 - 4 Years,Data Analysis,2026-01-31,2026-04-20,2026-01-08,No,,approved,published
Data Scientist,Build predictive models,No,No,No,1,Yes,Yes,10.823,20.212,Apply machine learning models,https://example.com,Accra,Ghana,Greater Accra,Accra,JobBox Africa,Senior Level,5000,30000,monthly,Python ML AI,Data,Full Time,datascience,GHS,Master,Day,5 - 8 Years,Data Science,2026-01-31,2026-06-01,2026-01-15,No,,approved,published
System Administrator,Manage servers and systems,No,No,No,2,No,Yes,10.823,20.212,Maintain IT systems,https://example.com,Accra,Ghana,Greater Accra,Accra,JobBox Africa,Mid Level,2000,10000,monthly,Linux Windows Networking,IT,Full Time,sysadmin,GHS,Bachelor,Day,3 - 5 Years,System Administration,2026-01-31,2026-04-30,2026-01-09,No,,approved,published
IT Support Officer,Provide technical support,No,Yes,No,4,No,Yes,10.823,20.212,Support users and systems,https://example.com,Accra,Ghana,Greater Accra,Accra,JobBox Africa,Entry Level,800,4000,monthly,IT Support Helpdesk,IT,Full Time,support,GHS,Diploma,Day,0 - 2 Years,IT Support,2026-01-31,2026-04-05,2026-01-03,No,,approved,published
Network Engineer,Design network systems,No,No,No,2,Yes,Yes,10.823,20.212,Manage enterprise networks,https://example.com,Accra,Ghana,Greater Accra,Accra,JobBox Africa,Senior Level,3500,18000,monthly,Networking Cisco,IT,Full Time,network,GHS,Bachelor,Day,5 - 7 Years,Networking,2026-01-31,2026-05-10,2026-01-11,No,,approved,published
Content Writer,Write digital content,Yes,Yes,Yes,3,No,Yes,10.823,20.212,Create blog and web content,https://example.com,Accra,Ghana,Greater Accra,Accra,JobBox Africa,Entry Level,500,3000,monthly,Writing SEO Content,Marketing,Freelance,content,GHS,Diploma,Day,0 - 2 Years,Content Creation,2026-01-31,2026-03-31,2026-01-02,Yes,,approved,published
HR Officer,Manage human resources,No,No,No,1,No,Yes,10.823,20.212,Handle recruitment and HR tasks,https://example.com,Accra,Ghana,Greater Accra,Accra,JobBox Africa,Mid Level,1500,8000,monthly,HR Recruitment,Administration,Full Time,hr,GHS,Bachelor,Day,3 - 5 Years,Human Resources,2026-01-31,2026-04-18,2026-01-06,No,,approved,published